target,train_dataset,test_dataset,model,feature_extractor,augmentations,seed,train_auroc,val_auroc,test_auroc
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,simple_rotate,2,0.8381783962249756,0.8247829675674438,0.803540825843811
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,simple_rotate,3,0.8451094627380371,0.8322809934616089,0.7692747116088867
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,simple_rotate,4,0.8217694759368896,0.829123854637146,0.7304397821426392
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,Macenko_patchwise,0,0.8574858903884888,0.8078137636184692,0.7978297472000122
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,Macenko_patchwise,1,0.7838821411132812,0.7722967863082886,0.7766990065574646
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,Macenko_patchwise,2,0.7645745873451233,0.7778216600418091,0.7926899194717407
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,Macenko_patchwise,3,0.8524892330169678,0.8046566843986511,0.7869788408279419
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,Macenko_patchwise,4,0.8833303451538086,0.8047553300857544,0.7252998352050781
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,Macenko_slidewise,0,0.8632890582084656,0.8126479983329773,0.7915476560592651
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,Macenko_slidewise,1,0.8057849407196045,0.7933109998703003,0.7675613760948181
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,Macenko_slidewise,2,0.777411937713623,0.7908445596694946,0.7995431423187256
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,Macenko_slidewise,3,0.8308228850364685,0.8113654255867004,0.7995431423187256
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,Macenko_slidewise,4,0.8685131072998047,0.8048540353775024,0.7658480405807495
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,all,0,0.697641134262085,0.8231057524681091,0.7784123420715332
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,all,1,0.8413013219833374,0.8254735469818115,0.7515705823898315
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,all,2,0.7238311767578125,0.8121547102928162,0.7669903039932251
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,all,3,0.7968406677246094,0.8119573593139648,0.7818390130996704
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,all,4,0.7467648983001709,0.7941988706588745,0.7704168558120728
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,none,0,0.9064520597457886,0.812450647354126,0.7281553745269775
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,none,1,0.7908495664596558,0.7914364337921143,0.7658480405807495
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,none,2,0.8610453605651855,0.7835438251495361,0.7121645212173462
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,none,3,0.8773998022079468,0.7953827977180481,0.7749857306480408
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,none,4,0.8841792345046997,0.8192580938339233,0.7755568027496338
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,simple_rotate,0,0.8043417930603027,0.8037687540054321,0.707595705986023
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,simple_rotate,1,0.8125705122947693,0.7918311357498169,0.7521415948867798
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,simple_rotate,2,0.7842035293579102,0.8057419061660767,0.737293004989624
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,simple_rotate,3,0.8184707164764404,0.8029794692993164,0.7824100255966187
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,simple_rotate,4,0.8865259289741516,0.8145225048065186,0.7744146585464478
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swin,Macenko_patchwise,0,0.7886968851089478,0.711326003074646,0.6367789506912231
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swin,Macenko_patchwise,1,0.6065975427627563,0.6406866312026978,0.5408338308334351
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swin,Macenko_patchwise,2,0.7123522162437439,0.6815311908721924,0.6053683757781982
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swin,Macenko_patchwise,3,0.771281361579895,0.7132991552352905,0.6601941585540771
