magnification,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.02234304
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.033816338
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.00777781
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.010265589
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.005509615
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.008643627
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03316331
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03578949
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.021000028
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.017446458
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.020833373
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0063251257
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03125
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.008333385
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.008999944
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.008643627
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.009444416
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.025265992
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03316325
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0114735365
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.016528964
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0107008815
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0051021576
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03328705
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0075187683
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0048308372
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.008454084
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.048333287
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.117753625
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.06611568
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.080452144
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.025510192
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.043508768
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.038999975
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.043616176
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.020833313
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.030993104
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.044547915
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.01666665
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.024000049
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0033245087
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.027777672
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.13763297
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0051020384
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.020531416
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.039485693
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.10700917
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.019557834
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.03467399
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.019086242
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.017512023
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.009661913
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0333333
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0036232471
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.023875117
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.011303246
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0059523582
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0035088062
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.004999995
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.022204578
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0029761791
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.017710209
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0006649494
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.01888895
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.008999944
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.043883026
