feature_extractor,model,magnification,target,auroc_diff
swin,AttentionMIL,low,lymph,0.09101868
swin,AttentionMIL,low,lymph,0.0885334
swin,AttentionMIL,low,lymph,0.15972221
swin,AttentionMIL,low,lymph,0.040090322
swin,AttentionMIL,low,lymph,-0.1625874
swin,AttentionMIL,low,lymph,0.18585521
swin,AttentionMIL,low,lymph,-0.074712634
swin,AttentionMIL,low,lymph,-0.070329666
swin,AttentionMIL,low,lymph,-0.1565851
swin,AttentionMIL,low,lymph,-0.2368421
swin,AttentionMIL,low,lymph,-0.06606609
swin,AttentionMIL,low,lymph,-0.057915032
swin,AttentionMIL,low,lymph,-0.06985295
swin,AttentionMIL,low,lymph,-0.06112051
swin,AttentionMIL,low,lymph,-0.14834917
swin,AttentionMIL,low,lymph,-0.05916667
swin,AttentionMIL,low,lymph,-0.09523815
swin,AttentionMIL,low,lymph,-0.13841665
swin,AttentionMIL,low,lymph,-0.13513511
swin,AttentionMIL,low,lymph,-0.091680884
swin,AttentionMIL,low,lymph,-0.11824167
swin,AttentionMIL,low,lymph,-0.08897567
swin,AttentionMIL,low,lymph,-0.058023274
swin,AttentionMIL,low,lymph,-0.10466993
swin,AttentionMIL,low,lymph,-0.0960961
swin,AttentionMIL,low,lymph,-0.014055371
swin,AttentionMIL,low,lymph,-0.16298681
swin,AttentionMIL,low,lymph,-0.15232313
swin,AttentionMIL,low,lymph,-0.2529294
swin,AttentionMIL,low,lymph,-0.14149308
swin,AttentionMIL,low,lymph,-0.122020304
swin,AttentionMIL,low,lymph,-0.05193013
swin,AttentionMIL,low,lymph,-0.040416718
swin,AttentionMIL,low,lymph,0.0012315512
swin,AttentionMIL,low,lymph,0.03351146
swin,AttentionMIL,low,lymph,-0.04606062
swin,AttentionMIL,low,lymph,-0.012500048
swin,AttentionMIL,low,lymph,0.012400091
swin,AttentionMIL,low,lymph,0.00534755
swin,AttentionMIL,low,lymph,-0.103037834
swin,AttentionMIL,low,lymph,-0.09334415
swin,AttentionMIL,low,lymph,-0.019965291
swin,AttentionMIL,low,lymph,-0.020669699
swin,AttentionMIL,low,lymph,-0.008272111
swin,AttentionMIL,low,lymph,-0.0009713173
swin,AttentionMIL,low,lymph,-0.0012500286
swin,AttentionMIL,low,lymph,-0.046593428
swin,AttentionMIL,low,lymph,-0.045903087
swin,AttentionMIL,low,lymph,-0.0052524805
swin,AttentionMIL,low,lymph,-0.018333316
swin,AttentionMIL,low,lymph,-0.023333311
swin,AttentionMIL,low,lymph,-0.04890603
swin,AttentionMIL,low,lymph,-0.025862098
swin,AttentionMIL,low,lymph,-0.009247541
swin,AttentionMIL,low,lymph,0.00050729513
swin,AttentionMIL,low,lymph,-0.050655723
swin,AttentionMIL,low,TP53,-0.0060362816
swin,AttentionMIL,low,TP53,-0.01058203
swin,AttentionMIL,low,TP53,-0.008951068
swin,AttentionMIL,low,TP53,-0.013310194
swin,AttentionMIL,low,TP53,-0.036429405
swin,AttentionMIL,low,TP53,-0.024173379
swin,AttentionMIL,low,TP53,-0.015913665
swin,AttentionMIL,low,TP53,-0.0041713715
swin,AttentionMIL,low,TP53,0.026936054
swin,AttentionMIL,low,TP53,0.0027900934
swin,AttentionMIL,low,TP53,-0.05387205
swin,AttentionMIL,low,TP53,0.0039281845
swin,AttentionMIL,low,TP53,0.0036150813
swin,AttentionMIL,low,TP53,0.0002784729
swin,AttentionMIL,low,TP53,0.033138394
swin,AttentionMIL,low,TP53,-0.009049773
swin,AttentionMIL,low,TP53,0.004832387
swin,AttentionMIL,low,TP53,0.02036202
swin,AttentionMIL,low,TP53,0.03701526
swin,AttentionMIL,low,TP53,-0.031407356
swin,AttentionMIL,low,TP53,-0.018894136
swin,AttentionMIL,low,TP53,-0.010558486
swin,AttentionMIL,low,TP53,0.016203642
swin,AttentionMIL,low,TP53,0.007703662
swin,AttentionMIL,low,TP53,-0.026227653
swin,AttentionMIL,low,TP53,-0.053176284
swin,AttentionMIL,low,TP53,-0.04149264
swin,AttentionMIL,low,TP53,0.0386014
swin,AttentionMIL,low,TP53,-0.013599575
swin,AttentionMIL,low,TP53,-0.08565077
swin,AttentionMIL,low,TP53,-0.041400373
swin,AttentionMIL,low,TP53,-0.036942363
swin,AttentionMIL,low,TP53,0.025027752
swin,AttentionMIL,low,TP53,0.019921482
swin,AttentionMIL,low,TP53,-0.040736616
swin,AttentionMIL,low,TP53,-0.06958473
swin,AttentionMIL,low,TP53,-0.034792423
swin,AttentionMIL,low,TP53,-0.059232533
swin,AttentionMIL,low,TP53,0.013923705
swin,AttentionMIL,low,TP53,0.015037596
swin,AttentionMIL,low,TP53,-0.029977322
swin,AttentionMIL,low,TP53,0.0009060502
swin,AttentionMIL,low,TP53,0.01498878
swin,AttentionMIL,low,TP53,0.032314897
swin,AttentionMIL,low,TP53,-0.012148142
swin,AttentionMIL,low,TP53,-0.044734657
swin,AttentionMIL,low,TP53,-0.021116972
swin,AttentionMIL,low,TP53,-0.060185194
swin,AttentionMIL,low,TP53,-0.052148223
swin,AttentionMIL,low,TP53,-0.060546935
swin,AttentionMIL,low,TP53,0.113538384
swin,AttentionMIL,low,TP53,0.17655247
swin,AttentionMIL,low,TP53,0.09174824
swin,AttentionMIL,low,TP53,0.04311347
swin,AttentionMIL,low,TP53,0.12597334
swin,AttentionMIL,low,TP53,0.118921906
swin,AttentionMIL,low,TP53,0.10940611
swin,AttentionMIL,low,TP53,0.073136866
swin,AttentionMIL,low,TP53,0.18181819
swin,AttentionMIL,low,TP53,0.10267854
swin,AttentionMIL,low,TP53,0.0561167
swin,AttentionMIL,low,TP53,0.1487093
swin,AttentionMIL,low,TP53,0.12958843
swin,AttentionMIL,low,TP53,0.10971874
swin,AttentionMIL,low,TP53,0.19047615
swin,AttentionMIL,low,TP53,0.12980765
swin,AttentionMIL,low,TP53,0.13168228
swin,AttentionMIL,low,TP53,0.15837103
swin,AttentionMIL,low,TP53,0.15070507
swin,AttentionMIL,low,TP53,0.04740739
