feature_extractor,model,magnification,target,auroc_diff
swin,AttentionMIL,low,TP53,0.07341492
swin,AttentionMIL,low,TP53,0.10409653
swin,AttentionMIL,low,TP53,0.056361556
swin,AttentionMIL,low,TP53,0.04797983
swin,AttentionMIL,low,TP53,0.113916874
swin,AttentionMIL,low,TP53,0.077586174
swin,AttentionMIL,low,TP53,0.08939016
swin,AttentionMIL,low,TP53,0.09718743
swin,AttentionMIL,low,TP53,0.06674206
swin,AttentionMIL,low,TP53,0.019933581
swin,AttentionMIL,low,TP53,0.101527154
swin,AttentionMIL,low,TP53,0.106345445
swin,AttentionMIL,low,TP53,0.035851896
swin,AttentionMIL,low,TP53,0.09891635
swin,AttentionMIL,low,TP53,0.091136456
swin,AttentionMIL,low,TP53,0.12471068
