augmentations,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.10100001
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.10997599
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09536213
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.039499998
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04110509
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0665074
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09537405
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.03850007
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09174317
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09000015
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.100308776
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.067385495
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.10213655
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.064814866
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07365084
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.106755614
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.015873015
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.12460786
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.01042217
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.092063546
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.066711605
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.10352266
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09080529
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.05936849
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.030000031
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.10250008
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.17247593
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.20531523
